Price,District,DistrictCode,Size,StationDistance,BuildYear,Reform
110,千代田区,D01,40,1,2022,0
300,千代田区,D01,110,3,2004,0
390,千代田区,D01,95,3,2019,0
57,千代田区,D01,40,3,2016,0
29,千代田区,D01,20,2,2006,0
22,千代田区,D01,20,3,2003,0
29,千代田区,D01,20,1,2004,0
37,千代田区,D01,30,4,2009,0
43,千代田区,D01,35,4,2009,0
25,千代田区,D01,25,3,2002,1
47,千代田区,D01,35,2,2014,0
27,千代田区,D01,20,4,2004,0
45,千代田区,D01,65,4,2000,0
55,千代田区,D01,55,4,2003,0
63,千代田区,D01,55,5,2006,0
190,千代田区,D01,70,1,2003,1
28,千代田区,D01,20,2,2004,0
78,千代田区,D01,55,1,2004,1
96,千代田区,D01,55,2,2012,0
68,千代田区,D01,35,2,2012,1
43,千代田区,D01,35,2,2007,0
40,千代田区,D01,30,2,2007,0
36,千代田区,D01,25,2,2017,0
44,千代田区,D01,40,4,2011,0
110,千代田区,D01,70,2,1988,0
110,千代田区,D01,70,2,1985,1
39,千代田区,D01,30,3,2002,1
55,千代田区,D01,45,0,1981,0
100,千代田区,D01,50,3,1971,1
170,千代田区,D01,90,3,1971,1
31,千代田区,D01,25,3,1985,1
200,千代田区,D01,95,4,1971,1
64,千代田区,D01,40,6,2019,0
160,千代田区,D01,115,3,1977,0
36,千代田区,D01,30,3,1978,0
98,千代田区,D01,75,2,1972,1
24,千代田区,D01,25,2,1983,0
67,千代田区,D01,50,5,2012,0
48,千代田区,D01,40,6,2006,0
25,千代田区,D01,40,4,1981,0
38,千代田区,D01,35,4,2003,1
69,千代田区,D01,70,5,1971,0
42,千代田区,D01,50,2,1981,0
320,千代田区,D01,75,3,2014,1
260,千代田区,D01,100,3,2001,1
12,中央区,D02,20,6,1978,0
74,中央区,D02,90,6,1978,0
28,中央区,D02,20,2,2003,0
27,中央区,D02,20,3,2000,0
28,中央区,D02,20,3,2000,0
43,中央区,D02,40,5,2007,0
170,中央区,D02,115,6,2008,0
72,中央区,D02,50,0,2010,0
70,中央区,D02,55,2,2014,0
37,中央区,D02,50,2,1984,1
41,中央区,D02,30,9,2021,0
39,中央区,D02,55,0,1981,0
75,中央区,D02,55,2,2000,1
62,中央区,D02,55,5,1998,0
27,中央区,D02,20,4,2008,0
25,中央区,D02,20,3,1999,1
39,中央区,D02,20,2,2007,0
38,中央区,D02,25,3,2003,0
40,中央区,D02,50,3,2005,0
80,中央区,D02,45,2,2004,0
65,中央区,D02,50,9,1999,1
24,中央区,D02,25,8,2003,0
62,中央区,D02,50,8,2001,0
30,中央区,D02,25,3,2012,0
